id,name,author,description,category,tags,total_chapter,created_at,cover
59,文本挖掘：基于R语言的整洁工具,"Julia Silge , David Robinson","文本挖掘：基于R语言的整洁工具 是一本由 Julia Silge , David Robinson 创作的书籍。",综合,"",54,2025-06-07 13:48:32,cover.jpg
60,杜甫传,还珠楼主,版权 （鄂）新登字08号 图书在版编目（CIP）数据,综合,"",26,2025-06-07 13:48:32,cover.jpeg
61,概率图模型：基于R语言,[法]（大卫·贝洛特）,概率图模型：基于R语言 是一本由 [法]（大卫·贝洛特） 创作的书籍。,综合,"",11,2025-06-07 13:48:32,cover.jpg
62,每天5分钟玩转Kubernetes,CloudMan,每天5分钟玩转Kubernetes 是一本由 CloudMan 创作的书籍。,综合,"",18,2025-06-07 13:48:32,cover.jpg
63,深入实践Spring Boot,陈韶健,深入实践Spring Boot 是一本由 陈韶健 创作的书籍。,综合,"",89,2025-06-07 13:48:32,cover.jpg
64,深入浅出Spring Boot 2.x,杨开振,深入浅出Spring Boot 2.x 是一本由 杨开振 创作的书籍。,综合,"",20,2025-06-07 13:48:32,cover.jpg
65,深入理解Elasticsearch（原书第2版）,Rafal Kuc and Marek Rogozinski,深入理解Elasticsearch（原书第2版） 是一本由 Rafal Kuc and Marek Rogozinski 创作的书籍。,综合,"",173,2025-06-07 13:48:32,cover.jpg
66,深入理解Kafka：核心设计与实践原理,朱忠华,深入理解Kafka：核心设计与实践原理 是一本由 朱忠华 创作的书籍。,综合,"",15,2025-06-07 13:48:32,cover.jpg
67,深入理解以太坊,王欣 史钦锋 程杰（华信区块链研究院）,深入理解以太坊 是一本由 王欣 史钦锋 程杰（华信区块链研究院） 创作的书籍。,综合,"",210,2025-06-07 13:48:32,cover.jpg
68,牛棚杂忆(季羡林作品珍藏本)(图文版),季羡林,"技术和制作支持：北京桑里德文化发展有限公司Technical and production support: Beijing. Sunlit Culture Development Co., Ltd.",综合,"",33,2025-06-07 13:48:32,cover.jpeg
69,现代示波器高级应用：测试及使用技巧,李凯,现代示波器高级应用：测试及使用技巧 是一本由 李凯 创作的书籍。,综合,"",31,2025-06-07 13:48:32,cover.jpg
70,神经网络：R语言实现,Balaji Venkateswaran,神经网络：R语言实现 是一本由 Balaji Venkateswaran 创作的书籍。,综合,"",79,2025-06-07 13:48:32,cover.jpg
71,竹林蹊径：深入浅出windows驱动开发,张佩,竹林蹊径：深入浅出windows驱动开发 是一本由 张佩 创作的书籍。,综合,"",20,2025-06-07 13:48:32,cover.jpg
72,精通Spring MVC 4,[美]Geoffroy Warin,精通Spring MVC 4 是一本由 [美]Geoffroy Warin 创作的书籍。,综合,"",13,2025-06-07 13:48:32,cover.jpg
73,自己动手写Docker,陈显鹭,自己动手写Docker 是一本由 陈显鹭 创作的书籍。,综合,"",9,2025-06-07 13:48:32,cover.jpg
74,自己动手写分布式搜索引擎,罗刚、崔智杰,自己动手写分布式搜索引擎 是一本由 罗刚、崔智杰 创作的书籍。,综合,"",8,2025-06-07 13:48:32,cover.jpg
75,设计模式之禅（第2版）,秦小波,设计模式之禅（第2版） 是一本由 秦小波 创作的书籍。,综合,"",165,2025-06-07 13:48:32,cover.jpg
76,软件定义数据中心：技术与实践,周宝曜、Ricky Sun（孙宇熙）、陈熹,软件定义数据中心：技术与实践 是一本由 周宝曜、Ricky Sun（孙宇熙）、陈熹 创作的书籍。,技术,"",79,2025-06-07 13:48:32,cover.jpg
77,软件开发践行录——ThoughtWorks中国区文集,ThoughtWorks中国,软件开发践行录——ThoughtWorks中国区文集 是一本由 ThoughtWorks中国 创作的书籍。,综合,"",40,2025-06-07 13:48:32,cover.jpg
78,软件方法（上）：业务建模和需求（第2版）,潘加宇,软件方法（上）：业务建模和需求（第2版） 是一本由 潘加宇 创作的书籍。,综合,"",10,2025-06-07 13:48:32,cover.jpg
79,软件架构设计：实用方法及实践,"Humberto Cervantes, Rick Kazman","软件架构设计：实用方法及实践 是一本由 Humberto Cervantes, Rick Kazman 创作的书籍。",综合,"",144,2025-06-07 13:48:32,cover.jpg
80,软件测试价值提升之路,杨晓慧,软件测试价值提升之路 是一本由 杨晓慧 创作的书籍。,综合,"",61,2025-06-07 13:48:32,cover.jpg
81,软件测试实用技术与常用模板 （第2版）,李龙-测试,软件测试实用技术与常用模板 （第2版） 是一本由 李龙-测试 创作的书籍。,技术,"",107,2025-06-07 13:48:32,cover.jpg
82,软件测试技术大全：测试基础 流行工具 项目实战(第3版),陈能技、黄志国,软件测试技术大全：测试基础 流行工具 项目实战(第3版) 是一本由 陈能技、黄志国 创作的书籍。,技术,"",32,2025-06-07 13:48:32,cover.jpg
83,软件测试进阶之路：测试路上你问我答,何飞,软件测试进阶之路：测试路上你问我答 是一本由 何飞 创作的书籍。,综合,"",16,2025-06-07 13:48:32,cover.jpg
84,软件调试（第2版）卷1：硬件基础,张银奎,软件调试（第2版）卷1：硬件基础 是一本由 张银奎 创作的书籍。,综合,"",22,2025-06-07 13:48:32,cover.jpg
85,量化交易学习指南——基于R语言,[印度]帕勒姆·吉特（Param Jeet） 普拉桑特·瓦次（Prashant Vats）,量化交易学习指南——基于R语言 是一本由 [印度]帕勒姆·吉特（Param Jeet） 普拉桑特·瓦次（Prashant Vats） 创作的书籍。,综合,"",11,2025-06-07 13:48:32,cover.jpg
86,量化金融R语言初级教程,[匈牙利] 盖尔盖伊,量化金融R语言初级教程 是一本由 [匈牙利] 盖尔盖伊 创作的书籍。,综合,"",13,2025-06-07 13:48:32,cover.jpg
87,量化金融R语言高级教程,[匈牙利] 艾迪娜?伯林格,量化金融R语言高级教程 是一本由 [匈牙利] 艾迪娜?伯林格 创作的书籍。,综合,"",16,2025-06-07 13:48:32,cover.jpg
88,陈寅恪与傅斯年,岳南,"<p class=""description"">陈寅恪与傅斯年</p>",综合,"",72,2025-06-07 13:48:32,cover.jpeg
89,面向对象的思考过程（原书第4版）,Matt Weisfeld,面向对象的思考过程（原书第4版） 是一本由 Matt Weisfeld 创作的书籍。,综合,"",250,2025-06-07 13:48:32,cover.jpg
90,领域驱动设计：软件核心复杂性应对之道（修订版）,[美] 埃里克 埃文斯（Eric Evans）,领域驱动设计：软件核心复杂性应对之道（修订版） 是一本由 [美] 埃里克 埃文斯（Eric Evans） 创作的书籍。,综合,"",30,2025-06-07 13:48:32,cover.jpg
91,飘泊者萧红,林贤治,目　录  ,综合,"",34,2025-06-07 13:48:32,cover.jpeg
92,规则为什么会失败：法律管不住的人类行为暗码,【荷兰】本雅明·范·罗伊 【美】亚当·费恩,"为何系安全带的法规执行良好，而限速规定屡遭突破？竖立“此处禁倒垃圾”标语牌后，此处垃圾为何反而变多？比起法规本身，签名位置更能影响填表人的诚信？机构的安全手册、合规条款和内部举报机制为何形同虚设？严刑峻法反而能鼓励犯罪？怎样才能避免一厢情愿甚至事与愿违？

失败的规则单有处罚，却不提升安全、产量、环保效果、群体认同……依规律定规则，才是讲科学。人类行为有怎样的客观规律？阅读本书，发现答案。",综合,"",22,2025-06-07 13:48:32,cover.jpeg
93,爱的终结-消极关系的社会学,【法】伊娃·易洛思,"为什么我们不爱了？

这似乎是一个人人崇尚自由、追求自主的时代，无论男女都可以自行定义自己的爱情样貌，随意选择交往的对象。但更多的选择，并没有为人们带来更高的情感满意度。爱的前景正变得愈发不确定，经历分手和离婚的人也仍然经历着心碎……

本书既是一部关于“心碎”的历史记录，也是一部批判资本主义和消费文化的学术扛鼎之作。伊娃·易洛思潜心二十年研究，结合社会学、心理学、哲学等相关理论资源，从大量文学作品、社交软件、影视、访谈和咨询中抽取出丰富的案例，为我们展现出现代社会如何影响了人们的情感结构和关系。",综合,"",63,2025-06-07 13:48:32,cover.jpg
94,网案演绎法-预告犯,何慕,"一条杀人预告信息被送到了刑警总队网络犯罪对策科，落款是曾经的连环杀人凶手“Soulmate”，这令副科长徐佳忐忑不安。虽然警方已经公布她在抓捕过程中被击毙，但网络上仍有不少视她为偶像的信徒。徐佳担心有人模仿其犯罪，便带着同事前往了预告地点。

命案在徐佳面前发生，并被以网络直播的方式公之于众。而令警方感到困惑的是，受害者的死亡完全是由一连串偶然事件引发的……杀人预告接二连三，警方将如何追捕真凶？",综合,"",13,2025-06-07 13:48:32,cover.jpg
95,世界尽头的女友,温文锦,"本书是作家温文锦的小说集，收入12篇短篇小说，作家通过丰富的想象力架构起一个个跌宕起伏的故事。河童少女与人类少年的隐秘友谊、理发师和头顶有纹身的顾客的心照不宣、猫咪对男女情感关系的敏锐感知……

小说多书写都市日常现实中的超现实幻想故事，体悟来自生命本质的脆弱与美感，也书写了当代年轻人的青春孤独苦闷、不甘平凡的生命力、不愿孤独的美丽心灵。

温文锦以乐队经历、电影写作之笔融入小说写作中，画面感、音乐性强，场景氛围突出，直有唤醒感官之力；笔下文字清丽如日剧般含蓄清冷、日常书写如东南亚热带风暴般浓郁斑斓，人物变形充满中国南方W术、古典传奇的奇妙想象，综合具备亚洲多国气息。",综合,"",15,2025-06-07 13:48:32,cover.jpg
96,与孩子深度交谈-高质量谈话提升孩子的七大能力,【美】丽贝卡·罗兰,"科学证明，如果亲子之间能够经常展开深度交谈，就能让孩子更独立、自信、更快乐。但现实中更常见的却是，亲子对话往往被琐事占据，家长与孩子的沟通障碍重重，充满紧张情绪，并时常伴随着误解与冲突。

作为哈佛大学讲师、语言病理学家和一位母亲，丽贝卡·罗兰深信，父母的语言拥有塑造孩子人格与未来的力量；从学步的幼儿到能畅所欲言的青少年，父母与孩子的每一次深度沟通，都在极大地拓展孩子的认知与能力。

在本书中，罗兰为父母们提供了与孩子进行深度交谈的工具，帮助父母以积极开放的心态，在提升好奇心、同理心、自信心、社交力等七大方面，与孩子展开有效且内涵丰富的谈话。她结合真实案例、最新科学研究成果，向父母们展示了何为深度交谈，以及如何进行深度交谈，从而帮助孩子构建起成长所需的品格和能力。",综合,"",139,2025-06-07 13:48:32,cover.jpg
97,小径分岔的庭院,【日】宫本百合子,"伸子生在富裕家庭，受高等教育又有才华。为了逃脱原生家庭令人窒息的精神压力，她早早结婚却以失败告终，随后结识了创作事业上的同好素子，二人开始了女作家的同居生活。尽管离婚后过上了经济独立的自在日子，但伸子发现自己的目的远不止于此。

她一直被“作为一个人应该为了什么而活着”的问题所困扰，而围绕在她身边的多位女性，母亲、女性密友素子等，虽同为女人，生活观却全然不同，这让生性渴望诚实生活的伸子陷入纠结不安。想要真正开拓新生活，伸子发现要做出的选择层出不穷，她的欲望和感情也在暴风雨般的时代上下浮沉……",综合,"",30,2025-06-07 13:48:32,cover.jpg
98,笔记的方法,"刘少楠,刘白光","笔记的方法 是一本由 刘少楠,刘白光 创作的书籍。",综合,"",25,2025-06-07 13:48:32,cover.jpg
99,冥想5分钟，等于熟睡一小时,【美】里克·汉森；理查德·蒙迪思,"冥想其实极为简单易学，最初的冥想只需几分钟时间，就能让你放松大脑和心情，解除焦虑、疲惫，回到精神饱满、思维清晰的状态，就像从熟睡中自然醒来一样充满活力。

开会累了冥想一会儿，伏案久了冥想一会儿，精神紧张的时候冥想一会儿，睡不着觉、休息不好的时候冥想一会儿。简单冥想5分钟，把大脑清空，整个人松弛下来，你就会发现一个更好的自己：清晰的思维，超强的注意力，准确的判断力，平静而放松的内心，浑身散发出活力与智慧。

翻开本书，随时随地，从简单的一呼一吸中，开始冥想吧。",综合,"",36,2025-06-07 13:48:32,cover.jpg
100,作文就三步-四年级快速写出400字（上）,三支铅笔读写研究中心 编著,"本书以“一想二画三写”的三步写作法，细致讲解四年级上册语文课本中的8次习作，指导孩子完成校内同步作文，快速写出400字。

一想，即用三问审题法，准确把握要求写什么类型、题眼是什么、有什么限制；用思维导图选材法，确定写的主要内容。二画，即用汉堡图来进行文章结构布局，确定以什么方式展开、先后写哪几块内容。三写，即运用有针对性的技法填充内容，一段一段往下写，写出精彩的开头、中间和结尾。

本书适合怕写作文、想写好校内同步作文的四年级学生阅读学习，还适合家长、小学语文教师，以及从事写作教学的相关人员参考。",综合,"",55,2025-06-07 13:48:32,cover.jpg
101,作文就三步-四年级快速写出400字（下）,三支铅笔读写研究中心 编著,"本书以“一想二画三写”的三步写作法，细致讲解四年级上册语文课本中的8次习作，指导孩子完成校内同步作文，快速写出400字。

一想，即用三问审题法，准确把握要求写什么类型、题眼是什么、有什么限制；用思维导图选材法，确定写的主要内容。二画，即用汉堡图来进行文章结构布局，确定以什么方式展开、先后写哪几块内容。三写，即运用有针对性的技法填充内容，一段一段往下写，写出精彩的开头、中间和结尾。

本书适合怕写作文、想写好校内同步作文的四年级学生阅读学习，还适合家长、小学语文教师，以及从事写作教学的相关人员参考。",综合,"",55,2025-06-07 13:48:32,cover.jpg
102,地球尽头的温室,金草叶,地球尽头的温室 是一本由 金草叶 创作的书籍。,综合,"",11,2025-06-07 13:48:32,cover.jpg
103,从康乾盛世到惊天巨变-清,冯贤亮,"本书从努尔哈赤建立后金政权写起，至宣统帝逊位结束，书写了清朝近三百年的建立、兴盛、衰落与终结，对清朝的政治斗争、边疆巩固、社会控制、官员腐败、社会民生、经济状况、文化面貌和内乱外患等做了深入浅出的解析，既重视主要史实的还原与细节的描写，又注意历史叙事的详略把握。

全书呈现出了清朝政治发展与社会变化的复杂性，并为人们理解清朝提供了生动而丰富的史实，对主要历史人物的描写提升了本书的故事性和趣味性。",综合,"",22,2025-06-07 13:48:32,cover.jpg
104,118367_弹性生长_九边,九边,"本书是一本帮你在不确定时代，看懂趋势、逆势生长的生存指南。

全书分四个版块：分析热门行业就业趋势，帮你做对选择，反脆弱；梳理房价、人口、城市发展趋势，帮你守好基本盘，抗风险；阐释碳排放、智能革命、产品迭代对今后经济和商业的重要影响，帮你预见未来，懂趋势；剖析人才归国、基层变富、经济周期的底层逻辑和规律，帮你看清现实，在不确定中找到机会。

这些宏观话题，与普通人看似遥远实则联系紧密，与我们的生活、职业选择、投资都有着重要关联。只有深入了解这些与你我都相关的“大势”，才能避免盲目奋斗，懂得择时、择市、择势，在关键时刻做出对自己有利的决策。",综合,"",32,2025-06-07 13:48:32,cover.jpg
105,洞见力-比别人看得更准、做得更好,赵海民,"一个人的成长与成就，本质上是由他的认知水平决定的，而洞见力正是认知水平的一个重要体现。只有不断提升自己的洞见力，我们才能比别人看得更准、做得更好。

本书首先将洞见力拆解为三个部分，即看清问题本质的能力、看懂未来趋势的能力和创新能力。作者围绕这三个部分，分别介绍了如何通过系统思维和模型思维来提高看问题的深度，发现事物的底层逻辑；如何通过战略思维和远见思维，看懂长期趋势，发现更多机会；如何通过切换视角和边界，跳出惯性思维，实现有效的创新。",综合,"",17,2025-06-07 13:48:32,cover.jpg
106,时势周期波动下的国家、社会和个人,小Lin,"为什么不论什么人，都应该了解一点经济金融学知识？

日本、韩国、俄罗斯、英国等国经济的崛起与衰落，带给我们怎样的启示？

通胀、通缩、经济泡沫、汇率这些书本中的概念到底怎样影响我们的生活？金融财经不无聊，也没有你想得那样复杂，而且，冰冷的数据和规律背后，是充满温度的人间烟火。

本书主要聚焦于宏观经济，以日本、韩国、俄罗斯、英国、欧盟、希腊等国家或地区的经济发展脉络为主线，以各国的经济与金融事件为核心内容，用大家都能理解的语言将复杂的经济学现象及趋势总结出来，手把手教你认清各种经济金融事件背后的底层逻辑，并通过这些内容的输出与解读，帮助读者建立清晰的底层认知框架，在复杂且不确定的表象中做出准确判断。

同时，作者将经常出现在新闻中诸如利率、通货膨胀、通货紧缩、泡沫等出现在文中的概念也一次讲透，以更广阔的视角为读者总结出用以指导自己的经济生活的经济金融的相关知识，在故事中得到启发，从热点事件中学会思考，从而更好地规划自己的工作与生活，并进一步构建自己的底层金融思维能力，做复杂世界的明白人。",综合,"",72,2025-06-07 13:48:32,cover.jpg
107,何处不归鸿：苏轼传,方志远,"苏轼的一生虽然颠沛流离，如同飞鸿四处漂泊，但他以豁达乐观的人格精神遨游九天，以他乡为故乡，故而天涯处处有芳草。

本书轻快简明地讲述了苏轼的一生经历，以苏轼的生命过程为经，以苏轼在不同时期展现的才华以及仕宦经历中体现出的精神内核为纬，串联起其诗、其文、其词，其书画、其美食、其养生，体现其治国安民的政治理想抱负，以及作为普通人，在爱情、友情、亲情等方面的朴素情感，重点刻画其在面对仕宦沉浮时由彷徨恐惧到豁然旷达的心路历程。",综合,"",15,2025-06-07 13:48:32,cover.jpg
